Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
65610,West Coast (M),869,1,859,1,887,1,861,1,4149
65810,West Tamar (M),1000,7,976,7,1000,7,977,7,22718
70200,Alice Springs (T),1007,8,1015,9,982,5,1028,9,24753
70420,Barkly (R),679,1,765,1,682,1,862,1,6655
70540,Belyuen (S),435,1,615,1,541,1,827,1,164
70620,Central Desert (R),492,1,638,1,542,1,780,1,3677
70700,Coomalie (S),877,1,888,2,895,2,932,4,1319
71000,Darwin (C),1041,9,1057,9,1007,8,1046,9,78804
71300,East Arnhem (R),562,1,697,1,550,1,892,1,9026
72200,Katherine (T),991,7,990,8,946,3,1014,9,9717
72300,Litchfield (M),1040,9,1041,9,1086,10,973,7,23855
72330,MacDonnell (R),581,1,695,1,610,1,844,1,6029
72800,Palmerston (C),1027,9,1033,9,1022,9,985,8,33786
73600,Roper Gulf (R),597,1,709,1,595,1,870,1,6505
74050,Tiwi Islands (R),630,1,728,1,573,1,872,1,2453
74550,Victoria Daly (R),657,1,753,1,683,1,875,1,2810
74560,Wagait (S),1011,8,1009,8,996,7,1048,9,463
74660,West Arnhem (R),622,1,735,1,602,1,878,1,6188
74680,West Daly (R),441,1,612,1,484,1,785,1,3166
79399,Unincorporated NT,1023,9,1014,9,946,2,1013,8,6907
89399,Unincorporated ACT,1075,10,1089,10,1043,9,1110,10,396857
99399,Unincorp. Other Territories,957,4,957,5,970,4,944,5,4523
,,,,,,,,,,
© Commonwealth of Australia 2018,,,,,,,,,,
